car_model,price_chf,mileage,engine_power_hp,power_mode,production_date,consumption_l_per_100km,transmission,listing_url
BMW X6M Competition (CH) FACELIFT INDIVIDUAL,129900,9749,626,Benzin,01.2024,N/A,Automat,https://www.autoscout24.ch/de/d/bmw-x6m-competition-ch-facelift-individual-12861564
BMW X3 xDrive 48 20d M Sport Individual / ACC / Head-Up Display,52900,12505,190,Diesel,06.2024,N/A,Automat,https://www.autoscout24.ch/de/d/bmw-x3-xdrive-48-20d-m-sport-individual-acc-head-up-display-12861562
BMW X7 xDrive 48V M60i M Sport Pro (CH) INDIVIDUAL,114900,21500,530,Benzin,08.2023,N/A,Automat,https://www.autoscout24.ch/de/d/bmw-x7-xdrive-48v-m60i-m-sport-pro-ch-individual-12861561
VW Golf 2.0 TDI R-Line Aut.,36900,10,150,Diesel,Neues Fahrzeug,N/A,Halbautomatik,https://www.autoscout24.ch/de/d/vw-golf-20-tdi-r-line-aut-12861537
BMW 520d xDrive 48V M Sport 4x4,52900,23599,197,Diesel,N/A,N/A,N/A,https://www.autoscout24.ch/de/d/bmw-520d-xdrive-48v-m-sport-4x4-12860597
CUPRA Terramar 2.0TSI DSG 4D VZ 4x4 PANORAMADACH / HEAD UP DISPLAY,39900,12999,265,Benzin,N/A,N/A,N/A,https://www.autoscout24.ch/de/d/cupra-terramar-20tsi-dsg-4d-vz-4x4-panoramadach-head-up-display-12859093
PEUGEOT 2008 1.2 PureTech Allure FACELIFT Aut. 360° Kamera / Totwinkelassistent / Apple Car Play,22900,10,130,Benzin,Neues Fahrzeug,N/A,Automat,https://www.autoscout24.ch/de/d/peugeot-2008-12-puretech-allure-facelift-aut-360-kamera-totwinkelassistent-apple-car-play-12859092
BMW M850i xDrive HAMANN 4x4,69900,40922,530,Benzin,05.2021,N/A,Automat,https://www.autoscout24.ch/de/d/bmw-m850i-xdrive-hamann-4x4-12859091
BMW M4 Cabrio Competition M xDrive CURVED DISPLAY! Keramikbremsen / Driving Assistant Professional,82900,31490,510,Benzin,N/A,N/A,N/A,https://www.autoscout24.ch/de/d/bmw-m4-cabrio-competition-m-xdrive-curved-display-keramikbremsen-driving-assistant-professional-12859090
MERCEDES-BENZ EQB 350 AMG Line 4Matic 4x4 (CH),52900,10,292,Elektro,N/A,N/A,N/A,https://www.autoscout24.ch/de/d/mercedes-benz-eqb-350-amg-line-4matic-4x4-ch-12859089
MERCEDES-BENZ EQB 350 AMG Line 4Matic 4x4 (CH),49900,19,292,Elektro,N/A,N/A,N/A,https://www.autoscout24.ch/de/d/mercedes-benz-eqb-350-amg-line-4matic-4x4-ch-12861838
MERCEDES-BENZ S 400 d L 4M AMG Line 9G (CH) S63 AMG LOOK FAB DESIGN,89900,56900,330,Diesel,N/A,N/A,N/A,https://www.autoscout24.ch/de/d/mercedes-benz-s-400-d-l-4m-amg-line-9g-ch-s63-amg-look-fab-design-12861837
MERCEDES-BENZ GLC Coupé 63 S AMG Edition 1 4Matic+ (CH) Keramik Carbon,64900,56900,510,Benzin,N/A,N/A,N/A,https://www.autoscout24.ch/de/d/mercedes-benz-glc-coupe-63-s-amg-edition-1-4matic-ch-keramik-carbon-12861835
BMW X7 xDrive 48 40d M Sport Pro (CH) INDIVIDUAL,99900,13500,340,Diesel,N/A,N/A,N/A,https://www.autoscout24.ch/de/d/bmw-x7-xdrive-48-40d-m-sport-pro-ch-individual-12861833
BMW i7 xDrive 60 (CH) Individual,79900,63900,544,Elektro,N/A,N/A,N/A,https://www.autoscout24.ch/de/d/bmw-i7-xdrive-60-ch-individual-12861832
BMW X3 xDrive 48V 30d M Sport,55900,14901,285,Diesel,N/A,N/A,N/A,https://www.autoscout24.ch/de/d/bmw-x3-xdrive-48v-30d-m-sport-12861831
VOLVO S60 T8 e AWD Hybrid Ultimate Bright 4x4,49900,1451,455,Benzin,N/A,N/A,N/A,https://www.autoscout24.ch/de/d/volvo-s60-t8-e-awd-hybrid-ultimate-bright-4x4-12861830
HYUNDAI i20 1.0 MH Vertex DCT (CH) Automat,19900,42700,120,Benzin,N/A,N/A,N/A,https://www.autoscout24.ch/de/d/hyundai-i20-10-mh-vertex-dct-ch-automat-12861829
BMW X3 xDrive M50 48V M Sport Pro 4x4 AHK,69900,9900,398,Benzin,N/A,N/A,N/A,https://www.autoscout24.ch/de/d/bmw-x3-xdrive-m50-48v-m-sport-pro-4x4-ahk-12861828
